GISJOIN,STATE,STATEA,COUNTY,COUNTYA,TRACTA,pop_total_2010,housing_occupied_2010,housing_vacant_2010,housing_owner_occ_2010,housing_renter_occ_2010,age_under5_2010,age_5to9_2010,age_10to14_2010,age_15to17_2010,age_18to19_2010,age_20_2010,age_21_2010,age_22to24_2010,age_25to29_2010,age_30to34_2010,age_35to39_2010,age_40to44_2010,age_45to49_2010,age_50to54_2010,age_55to59_2010,age_60to61_2010,age_62to64_2010,age_65to69_2010,age_70to74_2010,age_75to79_2010,age_80to84_2010,age_85plus_2010,race_nhwhite_2010,race_nhblack_2010,race_nhaian_2010,race_nhapi_2010,race_nhother_2010,race_nhtwo_2010,race_hispwhite_2010,race_hispblack_2010,race_hispaian_2010,race_hispapi_2010,race_hispother_2010,race_hisptwo_2010,pop_total_2020,land_area_sqkm,density_perkm2,settlement_type
G0100050950400,Alabama,01,Barbour County,005,950400,4303,1188,289,871,317,232,185,122,119,82,48,54,240,405,427,356,336,358,332,273,108,141,158,119,77,67,64,1951,1716,10,14,3,43,95,16,0,3,438,14,3998.0,343.305165,12.53403804746136,rural
G0100050950500,Alabama,01,Barbour County,005,950500,3467,1399,578,1090,309,204,198,203,145,72,47,36,97,188,172,220,217,279,247,248,131,152,242,161,120,44,44,2462,744,20,28,3,38,25,8,3,0,129,7,3105.0,333.702744,10.389486039107908,rural
G0100050950600,Alabama,01,Barbour County,005,950600,2099,828,111,510,318,137,160,166,100,49,28,19,82,122,123,140,147,155,132,144,48,93,90,67,45,27,25,1121,890,4,11,2,25,27,3,0,0,13,3,1858.0,101.697268,20.63968916057804,rural
G0100050950700,Alabama,01,Barbour County,005,950700,1727,646,76,372,274,101,112,106,74,46,22,21,45,103,78,81,102,132,105,107,47,77,94,64,62,55,93,752,921,3,1,0,7,12,1,0,0,27,3,1590.0,127.200997,13.576937608437142,rural
G0100050950800,Alabama,01,Barbour County,005,950800,2055,901,107,550,351,110,137,128,93,57,23,26,59,112,104,111,115,148,145,148,50,90,127,76,64,81,51,1117,829,7,30,2,13,33,3,0,0,21,0,2175.0,14.630162,140.46324299074746,suburban
G0100050950900,Alabama,01,Barbour County,005,950900,4583,1784,169,857,927,456,387,363,204,144,70,59,197,313,230,229,274,300,291,265,98,129,169,148,114,91,52,1752,2511,1,29,0,30,90,8,0,2,151,9,4638.0,16.201446,282.87598526699406,suburban
G0100070010001,Alabama,01,Bibb County,007,010001,2732,997,167,807,190,162,183,206,155,69,26,34,96,149,160,209,207,192,195,172,52,103,121,105,65,46,25,2368,269,7,1,4,7,42,7,0,0,21,6,2647.41,235.649036,11.593512311249174,rural
G0100070010002,Alabama,01,Bibb County,007,010002,6025,2200,281,1714,486,439,450,445,266,143,65,67,214,409,420,445,428,436,408,389,149,211,227,159,114,84,57,5554,321,11,5,6,52,40,1,0,0,32,3,5932.0,180.622408,33.356880061083004,rural
G0100070010003,Alabama,01,Bibb County,007,010003,5391,2085,293,1770,315,304,335,348,238,131,80,67,208,272,307,377,347,441,407,348,161,216,273,216,161,97,57,4384,814,33,6,6,64,23,2,0,0,50,9,5146.0,691.793673,7.792785927951093,rural
G0100070010004,Alabama,01,Bibb County,007,010004,8767,2671,287,1720,951,473,437,441,319,222,89,127,418,773,759,716,653,736,571,492,188,254,345,277,209,128,140,4885,3620,13,17,4,58,85,13,0,6,62,4,8567.59,504.415672,17.380506765856396,rural
G0100090050101,Alabama,01,Blount County,009,050101,7858,2865,366,2223,642,540,540,530,356,231,87,87,273,512,522,554,530,551,520,501,177,274,384,264,204,123,98,6152,238,48,19,10,66,640,19,7,0,643,16,7747.0,215.168112,36.52028140675417,rural
G0100090050102,Alabama,01,Blount County,009,050102,7050,2748,292,1873,875,419,438,427,270,178,90,70,221,381,362,413,410,473,493,470,191,249,398,361,268,217,251,5827,175,13,27,8,59,343,3,3,3,572,17,7561.0,184.485071,38.21447427580739,rural
G0100090050200,Alabama,01,Blount County,009,050200,3789,1377,121,1137,240,294,259,253,170,94,62,44,136,266,232,245,266,283,231,204,94,141,181,129,100,67,38,3042,16,14,8,2,34,318,4,0,0,347,4,3879.0,117.119603,32.351544087798864,rural
G0100090050300,Alabama,01,Blount County,009,050300,5269,2031,220,1642,389,341,384,402,235,106,51,44,145,290,341,369,324,366,364,335,140,203,295,211,153,117,53,4665,14,51,8,0,52,129,6,3,8,296,37,5389.0,189.558871,27.796114063160882,rural
G0100090050400,Alabama,01,Blount County,009,050400,4451,1740,238,1359,381,270,294,320,193,118,47,46,145,273,281,285,281,354,316,280,126,163,208,195,122,71,63,4139,13,14,8,0,59,114,0,3,0,90,11,4550.0,245.439329,18.134827935420244,rural
G0100090050500,Alabama,01,Blount County,009,050500,7329,2766,391,2147,619,455,512,579,346,204,87,70,246,434,418,543,552,519,468,458,192,240,370,264,175,121,76,6517,29,43,26,8,75,334,5,1,11,264,16,7468.0,248.719948,29.466876536979658,rural
G0100090050601,Alabama,01,Blount County,009,050601,3922,1421,128,1252,169,263,295,269,167,101,43,50,137,260,248,267,283,278,258,243,73,145,184,131,131,53,43,3826,9,9,0,0,49,22,0,0,0,6,1,4166.0,83.839408,46.77991046883346,rural
G0100090050602,Alabama,01,Blount County,009,050602,8923,3329,284,2958,371,555,608,693,386,205,92,78,277,532,548,643,756,683,614,584,231,348,411,291,170,127,91,8486,161,49,20,5,106,72,0,1,0,12,11,9330.0,181.928648,49.046700990159614,rural
G0100090050700,Alabama,01,Blount County,009,050700,8731,3301,269,2793,508,479,550,611,403,270,96,87,296,488,489,573,631,656,658,619,248,347,461,341,194,139,95,8298,69,44,17,2,67,144,0,4,0,82,4,9044.0,203.702865,42.86144919954857,rural
G0100110952100,Alabama,01,Bullock County,011,952100,1434,612,180,483,129,77,73,114,76,45,18,17,40,83,68,70,82,119,116,116,42,56,75,55,41,23,28,132,1279,4,0,2,5,0,10,0,0,2,0,1272.0,428.229146,3.34867445010387,rural
G0100110952200,Alabama,01,Bullock County,011,952200,7102,2117,349,1263,854,526,383,386,268,169,87,93,332,636,545,501,449,547,549,452,169,192,257,203,159,78,121,1243,5076,8,23,3,24,108,19,3,39,534,22,6764.0,398.492283,17.822176998092583,rural
G0100110952500,Alabama,01,Bullock County,011,952500,2378,1016,219,830,186,139,114,175,99,69,40,18,66,103,120,141,119,179,187,200,70,110,144,101,75,50,59,1017,1282,8,1,0,30,7,0,0,0,28,5,2321.0,786.335476,3.0241545403707564,rural
G0100130952700,Alabama,01,Butler County,013,952700,2439,1019,103,563,456,174,171,144,82,50,35,44,84,167,172,117,132,145,180,157,74,75,108,95,77,54,102,1308,1059,7,36,0,12,8,6,0,0,1,2,2515.0,133.784793,18.230771564597777,rural
G0100130952800,Alabama,01,Butler County,013,952800,1394,608,74,486,122,90,67,102,74,27,9,12,28,82,88,67,97,97,97,113,31,50,75,53,49,51,35,1066,287,0,9,0,7,7,0,0,3,15,0,1411.0,3.453422,403.657589486602,suburban
G0100130952900,Alabama,01,Butler County,013,952900,2180,847,109,558,289,130,159,163,126,59,22,28,57,139,147,143,125,150,175,152,57,65,86,77,57,41,22,883,1208,4,49,0,11,16,4,0,0,4,1,1958.94,57.456662,37.94164025748659,rural
G0100130953000,Alabama,01,Butler County,013,953000,1469,620,186,478,142,70,110,95,55,41,5,11,44,105,93,78,82,99,127,104,45,63,70,63,49,26,34,843,556,2,50,2,13,0,2,0,0,1,0,1230.0,441.478646,3.3274542569834735,rural
G0100130953100,Alabama,01,Butler County,013,953100,3023,1153,213,610,543,264,277,245,132,76,34,39,139,236,187,163,163,196,183,187,63,92,100,82,70,51,44,770,2181,2,15,0,20,15,18,0,0,0,2,2526.06,32.192726,93.90320036892805,rural
G0100130953200,Alabama,01,Butler County,013,953200,4327,1738,268,1309,429,298,285,307,176,117,51,58,137,243,257,249,256,313,290,333,99,164,216,160,140,88,90,2604,1617,33,12,1,14,15,4,0,0,21,6,3987.0,478.689912,9.03925462293845,rural
G0100130953300,Alabama,01,Butler County,013,953300,1774,729,175,651,78,100,80,127,67,37,13,12,53,79,84,115,108,127,167,159,53,70,91,87,74,47,24,1572,178,3,4,0,8,9,0,0,0,0,0,1712.0,352.229688,5.0364863054927955,rural
G0100130953400,Alabama,01,Butler County,013,953400,2931,1160,230,827,333,165,138,212,106,75,26,34,97,170,135,166,170,186,217,214,68,106,161,132,115,104,134,1237,1636,6,6,0,32,0,5,0,0,3,6,2389.96,248.304765,11.804042503976918,rural
G0100130953500,Alabama,01,Butler County,013,953500,1410,617,115,485,132,81,64,70,50,41,23,25,50,62,81,64,82,115,116,112,51,68,97,76,29,26,27,1041,325,2,0,0,25,5,9,1,0,0,2,1321.04,264.38628,5.3331057874864,rural
G0100150000200,Alabama,01,Calhoun County,015,000200,3104,1348,279,733,615,206,195,174,110,89,43,40,120,249,196,177,178,232,267,217,67,92,114,69,97,83,89,1235,1705,12,13,5,45,40,20,0,1,24,4,2929.0,6.798684,456.5589458195145,suburban
G0100150000300,Alabama,01,Calhoun County,015,000300,2951,1235,310,552,683,205,209,183,100,76,54,39,102,209,183,167,157,250,267,214,67,83,115,86,59,72,54,497,2367,11,3,2,23,7,20,1,1,5,14,2314.0,2.620904,1125.9473830403556,urban
G0100150000400,Alabama,01,Calhoun County,015,000400,2812,1182,177,775,407,170,185,193,117,67,33,34,82,157,149,152,160,206,231,185,71,129,159,131,103,58,40,1009,1703,13,7,2,21,8,9,0,0,35,5,2423.6,10.132459,277.5239455693825,suburban
G0100150000500,Alabama,01,Calhoun County,015,000500,1814,787,243,445,342,147,135,140,74,62,26,19,65,86,107,100,100,107,129,127,35,54,86,58,57,53,47,121,1638,3,2,3,29,0,9,0,0,7,2,1096.4,2.343689,773.9934778035823,suburban
G0100150000600,Alabama,01,Calhoun County,015,000600,2191,745,145,295,450,211,144,125,80,82,46,59,137,203,166,162,138,126,142,116,41,46,42,43,38,25,19,515,1590,4,6,3,38,14,4,0,0,6,11,1772.42,6.794611,322.4614330386243,suburban
G0100150000700,Alabama,01,Calhoun County,015,000700,2715,1189,187,471,718,257,147,150,146,62,41,37,160,274,183,107,134,193,191,134,67,87,98,90,64,60,33,1389,1092,15,34,1,82,46,9,1,1,35,10,2952.0,45.795291,59.28557152306337,rural
G0100150000800,Alabama,01,Calhoun County,015,000800,1379,547,150,227,320,93,63,53,35,29,13,23,54,105,94,72,81,83,87,112,35,58,67,64,55,55,48,689,600,6,1,2,14,17,2,1,0,39,8,1752.0,3.645408,378.2841317076168,suburban
G0100150000900,Alabama,01,Calhoun County,015,000900,3362,1597,192,1151,446,152,135,146,85,43,25,35,79,164,140,134,156,215,225,289,132,178,216,200,204,179,230,2637,590,3,27,3,32,42,3,0,0,17,8,3417.0,12.116267,277.47820347636775,suburban
G0100150001000,Alabama,01,Calhoun County,015,001000,5792,2593,176,1735,858,331,362,288,156,96,56,70,217,399,354,307,328,383,477,517,186,246,329,226,197,166,101,4003,1176,14,161,4,62,162,7,8,1,182,12,5718.0,16.674934,347.34770164607545,suburban
G0100150001100,Alabama,01,Calhoun County,015,001100,6565,2634,256,1679,955,427,415,453,274,152,90,70,239,468,420,412,479,502,503,473,176,218,242,191,167,124,70,4902,863,23,77,8,64,179,13,9,2,394,31,6897.2,48.651297,134.93987632025514,suburban
G0100150001201,Alabama,01,Calhoun County,015,001201,3482,1294,192,769,525,227,216,226,153,93,40,45,142,254,206,202,194,217,197,204,79,116,147,135,160,106,123,2144,1007,10,17,9,34,73,9,0,0,177,2,3369.96,7.323184,475.4762409356367,suburban
G0100150001202,Alabama,01,Calhoun County,015,001202,4318,1609,115,1232,377,300,297,319,197,113,56,48,154,269,282,303,283,280,302,274,111,126,176,154,141,80,53,3285,512,12,32,3,45,179,3,6,1,221,19,4298.62,23.518414,183.60081593937414,suburban
G0100150001300,Alabama,01,Calhoun County,015,001300,2211,865,150,598,267,141,147,150,96,53,28,28,68,118,136,153,149,156,160,142,67,77,96,94,69,54,29,2047,64,13,8,1,37,28,0,0,0,7,6,2010.0,5.82198,379.76770789319096,suburban
G0100150001400,Alabama,01,Calhoun County,015,001400,3731,1427,185,1088,339,185,226,240,152,88,55,52,144,207,243,252,273,296,279,286,81,134,160,132,113,75,58,2869,724,16,6,1,40,40,2,1,0,29,3,3160.07,21.252594,175.5550404811761,suburban
G0100150001500,Alabama,01,Calhoun County,015,001500,5198,2030,217,1636,394,327,387,351,197,129,53,54,150,316,349,330,358,376,428,370,150,173,258,156,149,80,57,4468,427,31,11,4,77,57,4,2,0,107,10,5145.0,54.507659,95.36274526117514,rural
G0100150001600,Alabama,01,Calhoun County,015,001600,3791,1489,195,1061,428,292,283,262,135,87,51,47,118,278,299,265,238,256,277,235,71,105,132,118,117,79,46,2979,532,16,25,3,65,64,9,1,0,85,12,3513.0,14.153668,267.84576266731705,suburban
G0100150001700,Alabama,01,Calhoun County,015,001700,6329,2561,149,2056,505,326,347,422,278,185,71,54,188,378,339,378,407,479,480,455,163,231,364,329,233,137,85,4546,1381,20,62,11,125,76,18,3,2,67,18,6023.0,18.682691,338.7627617456179,suburban
G0100150001800,Alabama,01,Calhoun County,015,001800,6919,2671,392,2076,595,482,504,520,314,181,84,65,238,491,485,459,430,476,484,440,161,213,325,230,174,93,70,5642,849,48,67,8,145,105,9,0,1,27,18,6811.0,41.12955,168.2245490164614,suburban
G0100150002000,Alabama,01,Calhoun County,015,002000,7335,2784,283,2336,448,443,541,546,321,161,83,67,200,462,505,528,559,579,566,499,189,278,321,214,129,90,54,6574,354,29,54,2,101,93,4,0,0,111,13,7481.89,239.336026,30.64728750865112,rural
G0100150002101,Alabama,01,Calhoun County,015,002101,3992,1333,164,173,1160,70,63,55,40,1019,580,529,733,289,95,67,53,71,57,77,15,27,38,37,34,17,26,2152,1664,16,44,8,33,35,15,0,0,22,3,5300.0,13.689583,291.6085902689658,suburban
G0100150002102,Alabama,01,Calhoun County,015,002102,3411,1428,130,993,435,147,194,227,131,98,73,78,203,194,173,188,208,226,210,225,82,110,220,140,111,97,76,2768,465,15,36,1,55,43,0,0,3,23,2,3242.92,20.637784,165.2793730179558,suburban
G0100150002103,Alabama,01,Calhoun County,015,002103,6801,2851,317,1434,1417,439,451,443,278,181,160,187,491,538,402,415,380,415,444,405,144,199,254,182,172,118,103,4899,1386,34,124,3,163,89,19,12,0,57,15,6801.0,25.249075,269.35640216522785,suburban
G0100150002200,Alabama,01,Calhoun County,015,002200,3652,1494,238,1154,340,204,239,254,140,74,31,36,112,200,237,210,216,247,268,263,105,188,192,183,122,80,51,3426,126,11,6,4,33,16,8,2,0,9,11,3625.0,87.901984,41.5462749964779,rural
G0100150002300,Alabama,01,Calhoun County,015,002300,3843,1597,246,1118,479,253,260,239,176,106,58,55,118,195,196,268,246,290,286,239,115,129,207,151,104,93,59,3214,466,19,5,0,83,31,0,0,0,25,0,3717.0,88.50514,43.42120694911053,rural
